Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 59.76 MPa,923.0,2.6e-09,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 74.12 MPa,923.0,5.7e-09,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 94.54 MPa,923.0,1.96e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 128.75 MPa,923.0,6.75e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 125.19 MPa,923.0,8.27e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 162.7 MPa,923.0,1.955e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 173.72 MPa,923.0,3.077e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 198.04 MPa,923.0,5.576e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 207.53 MPa,923.0,7.745e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 264.71 MPa,923.0,6.4073e-06,None,%/s,F3,10.3390/met9070739
