Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Nb9.73 Ti17.37 V29.2 Zr43.69,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,9860000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb9.01 Ti20 V23.02 Zr47.97,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,8090000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb9.17 Ti25.55 V19.11 Zr46.17,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,6570000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb9.27 Ti31.07 V15.87 Zr43.8,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,4980000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb9.9 Ti38.97 V12.02 Zr39.1,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,4059999999.9999995,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb10.73 Ti11.46 V42.35 Zr35.46,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,8870000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb10.93 Ti14.04 V37.86 Zr37.17,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,9920000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb11.98 Ti17.85 V32.4 Zr37.77,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,9910000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb12.59 Ti22.43 V26.96 Zr38.03,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,9120000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb12.13 Ti30.12 V20.97 Zr36.79,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,8100000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb12.07 Ti36.55 V15.9 Zr35.47,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,6730000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb11.65 Ti43.94 V10.93 Zr33.48,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,5400000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb11.09 Ti49.64 V9.01 Zr30.26,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,4740000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb13.03 Ti11.9 V46.48 Zr28.58,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,9940000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb14.65 Ti16.17 V39.23 Zr29.95,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,9920000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb15.98 Ti19.68 V32.6 Zr31.74,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,10190000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb16.68 Ti26.46 V26.19 Zr30.67,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,9490000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb15.7 Ti31.59 V21.61 Zr31.09,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,8750000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb16.31 Ti36.52 V17.48 Zr29.7,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,8080000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb14.41 Ti45.63 V11.71 Zr28.25,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,7390000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb13.59 Ti52.48 V8.84 Zr25.09,BCC,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,7460000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
1,Nb15.81 Ti10.79 V53.68 Zr19.71,BCC+?,MS,Thin-film compositionally-graded processed using MS. 17 out of the 80 alloy compositions had a larger dr value (>6.6 %) and have a high potential to not form a single BCC phase.,hardness,EXP,nanohardness at a maximum load of 13 mN,298,9070000000.0,None,Pa,T2,10.1016/j.matdes.2022.111259
